Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Fully Paid,122298.0,Short Term,743.0,480130.0,4 years,Rent,Debt Consolidation,4201.09,33.5,7.0,1.0,46835.0,188980.0,1.0,0.0
Fully Paid,399674.0,Short Term,718.0,1342369.0,2 years,Rent,Debt Consolidation,26959.1,15.0,14.0,0.0,131347.0,262218.0,0.0,0.0
Fully Paid,403106.0,Long Term,707.0,1130709.0,4 years,Home Mortgage,Debt Consolidation,29398.7,13.0,17.0,0.0,223098.0,440814.0,0.0,0.0
Charged Off,65032.0,Short Term,718.0,936130.0,7 years,Rent,moving,14899.99,7.8,5.0,0.0,87001.0,140888.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,952280.0,7 years,Home Mortgage,Home Improvements,16902.97,13.7,16.0,0.0,270788.0,624602.0,0.0,0.0
Charged Off,108284.0,Short Term,6910.0,935180.0,5 years,Rent,Business Loan,5611.08,12.0,3.0,0.0,25061.0,403062.0,0.0,0.0
Fully Paid,108394.0,Short Term,702.0,468065.0,< 1 year,Own Home,Debt Consolidation,10219.34,7.0,13.0,0.0,102923.0,121352.0,0.0,0.0
Fully Paid,258984.0,Short Term,739.0,1559140.0,2 years,Rent,Debt Consolidation,27804.6,43.4,21.0,0.0,1395645.0,2415578.0,0.0,0.0
Fully Paid,110726.0,Long Term,736.0,765016.0,4 years,Rent,other,1415.31,19.9,3.0,0.0,20197.0,88572.0,0.0,0.0
Fully Paid,152438.0,Short Term,739.0,1523306.0,4 years,Own Home,major_purchase,5585.43,14.0,14.0,0.0,200963.0,590590.0,0.0,0.0
Fully Paid,87384.0,Short Term,714.0,660345.0,2 years,Rent,Debt Consolidation,10565.52,26.6,9.0,2.0,91371.0,172590.0,2.0,0.0
Fully Paid,336996.0,Short Term,709.0,1688036.0,1 year,Rent,Debt Consolidation,21803.83,14.2,11.0,1.0,93290.0,254166.0,1.0,0.0
Fully Paid,100188.0,Short Term,732.0,1403511.0,10+ years,Home Mortgage,Debt Consolidation,20233.86,23.0,9.0,0.0,405156.0,614020.0,0.0,0.0
Fully Paid,404822.0,Long Term,677.0,1019749.0,< 1 year,Rent,Debt Consolidation,26853.27,8.9,21.0,0.0,170145.0,274406.0,0.0,0.0
Fully Paid,99999999.0,Short Term,747.0,2322408.0,1 year,Home Mortgage,Debt Consolidation,30965.44,14.2,7.0,1.0,502512.0,750772.0,1.0,0.0
Fully Paid,99999999.0,Short Term,726.0,576954.0,2 years,Own Home,Debt Consolidation,6202.17,9.4,8.0,1.0,104367.0,231528.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,5338107.0,4 years,Home Mortgage,Debt Consolidation,23754.56,18.0,14.0,0.0,379392.0,1645292.0,0.0,0.0
Charged Off,489544.0,Long Term,6720.0,950095.0,10+ years,Home Mortgage,Debt Consolidation,26444.39,26.4,18.0,0.0,249261.0,1173260.0,0.0,0.0
Fully Paid,224312.0,Short Term,735.0,1356068.0,1 year,Rent,Debt Consolidation,7650.54,15.8,7.0,0.0,181830.0,257994.0,0.0,0.0
Fully Paid,142472.0,Short Term,723.0,633859.0,9 years,Home Mortgage,Debt Consolidation,9666.25,13.9,8.0,0.0,121068.0,168278.0,0.0,0.0
Fully Paid,649440.0,Long Term,731.0,1495680.0,8 years,Own Home,Debt Consolidation,24304.8,13.8,26.0,0.0,664791.0,2548876.0,0.0,0.0
Fully Paid,271458.0,Short Term,750.0,859446.0,7 years,Home Mortgage,Debt Consolidation,17690.33,21.3,6.0,0.0,433865.0,668052.0,0.0,0.0
Charged Off,159258.0,Short Term,729.0,847818.0,3 years,Rent,Debt Consolidation,9325.96,15.3,9.0,0.0,122816.0,272448.0,0.0,0.0
Fully Paid,331056.0,Long Term,700.0,1620168.0,8 years,Home Mortgage,Debt Consolidation,22007.13,14.6,11.0,0.0,214472.0,448250.0,0.0,0.0
Fully Paid,336336.0,Long Term,722.0,1549184.0,10+ years,Home Mortgage,Debt Consolidation,20397.45,13.0,15.0,0.0,309187.0,879604.0,0.0,0.0
Fully Paid,755986.0,Long Term,687.0,2238504.0,1 year,Rent,Debt Consolidation,54470.34,10.7,17.0,0.0,702164.0,911460.0,0.0,0.0
Fully Paid,768922.0,Long Term,693.0,1885959.0,10+ years,Home Mortgage,Debt Consolidation,8046.88,21.8,10.0,0.0,315932.0,923758.0,0.0,0.0
Charged Off,178838.0,Short Term,726.0,2683522.0,10+ years,Home Mortgage,Debt Consolidation,38016.53,18.4,17.0,0.0,627228.0,873950.0,0.0,0.0
Fully Paid,99999999.0,Long Term,699.0,1370071.0,10+ years,Rent,Debt Consolidation,11017.72,14.1,8.0,0.0,340404.0,532620.0,0.0,0.0
Charged Off,247808.0,Long Term,676.0,972800.0,< 1 year,Rent,Debt Consolidation,20266.73,7.8,5.0,0.0,125799.0,155474.0,0.0,0.0
Fully Paid,668910.0,Long Term,707.0,1925650.0,9 years,Home Mortgage,Debt Consolidation,25514.91,12.6,7.0,0.0,437627.0,671154.0,0.0,0.0
Fully Paid,97130.0,Short Term,623.0,1620339.0,10+ years,Home Mortgage,Business Loan,3105.74,14.7,7.0,3.0,102163.0,441364.0,0.0,3.0
Charged Off,374902.0,Long Term,710.0,1142736.0,6 years,Rent,Debt Consolidation,8170.57,14.7,12.0,0.0,14706.0,333806.0,0.0,0.0
Fully Paid,401852.0,Long Term,673.0,1214708.0,2 years,Home Mortgage,Debt Consolidation,7966.7,19.6,8.0,0.0,102182.0,122738.0,0.0,0.0
Fully Paid,99999999.0,Long Term,716.0,1006373.0,10+ years,Home Mortgage,Debt Consolidation,18869.66,35.7,22.0,0.0,530499.0,1274394.0,0.0,0.0
Fully Paid,194678.0,Short Term,706.0,1214252.0,< 1 year,Rent,Debt Consolidation,23000.07,23.6,21.0,0.0,177878.0,432696.0,0.0,0.0
Fully Paid,260942.0,Short Term,746.0,2629144.0,3 years,Home Mortgage,Home Improvements,22128.54,11.9,5.0,0.0,1718569.0,4715458.0,0.0,0.0
Fully Paid,53086.0,Short Term,726.0,744933.0,9 years,Home Mortgage,Other,17878.24,10.0,6.0,0.0,201913.0,285450.0,0.0,0.0
Charged Off,451000.0,Long Term,729.0,1752750.0,1 year,Rent,Debt Consolidation,10282.8,19.0,9.0,0.0,465424.0,1219284.0,0.0,0.0
Fully Paid,179872.0,Short Term,731.0,679630.0,6 years,Home Mortgage,Debt Consolidation,11157.18,10.3,10.0,1.0,82916.0,297242.0,1.0,0.0
Fully Paid,443498.0,Long Term,720.0,856463.0,5 years,Home Mortgage,Debt Consolidation,10420.17,29.3,6.0,0.0,446728.0,823680.0,0.0,0.0
Charged Off,94314.0,Short Term,721.0,775656.0,10+ years,Own Home,other,8661.53,25.8,11.0,0.0,323285.0,540936.0,0.0,0.0
Fully Paid,131186.0,Long Term,704.0,1321887.0,5 years,Rent,Other,23364.3,13.3,9.0,0.0,260756.0,542058.0,0.0,0.0
Charged Off,245916.0,Long Term,7170.0,1706580.0,< 1 year,Home Mortgage,Debt Consolidation,21758.99,11.8,11.0,0.0,555522.0,676390.0,0.0,0.0
Fully Paid,99999999.0,Short Term,741.0,1760236.0,2 years,Home Mortgage,Debt Consolidation,25083.42,19.5,10.0,0.0,315856.0,456566.0,0.0,0.0
Fully Paid,52624.0,Short Term,710.0,492328.0,3 years,Home Mortgage,other,10338.66,33.9,12.0,0.0,569183.0,710182.0,0.0,0.0
Fully Paid,156618.0,Short Term,748.0,1690848.0,< 1 year,Home Mortgage,Debt Consolidation,17598.94,15.1,9.0,0.0,269325.0,1125850.0,0.0,0.0
Fully Paid,260700.0,Short Term,725.0,722361.0,5 years,Home Mortgage,Debt Consolidation,14567.49,12.9,8.0,0.0,137807.0,232606.0,0.0,0.0
Charged Off,532378.0,Short Term,7400.0,1360191.0,10+ years,Rent,Debt Consolidation,3547.87,16.4,6.0,0.0,119643.0,277068.0,0.0,0.0
Fully Paid,222376.0,Short Term,743.0,845025.0,8 years,Home Mortgage,Debt Consolidation,14654.13,17.3,13.0,0.0,539619.0,776182.0,0.0,0.0
Charged Off,521664.0,Long Term,722.0,1933516.0,10+ years,Home Mortgage,Debt Consolidation,11133.81,9.0,11.0,0.0,346028.0,784058.0,0.0,0.0
Fully Paid,187396.0,Short Term,721.0,1570464.0,1 year,Own Home,Debt Consolidation,29315.48,27.4,14.0,0.0,606822.0,871750.0,0.0,0.0
Fully Paid,226622.0,Short Term,744.0,1223277.0,10+ years,Home Mortgage,Debt Consolidation,29868.0,17.9,14.0,0.0,288344.0,531652.0,0.0,0.0
Fully Paid,765226.0,Short Term,701.0,1604987.0,10+ years,Home Mortgage,Debt Consolidation,28756.12,21.1,16.0,0.0,579329.0,1497298.0,0.0,0.0
Fully Paid,319594.0,Long Term,720.0,2300064.0,5 years,Home Mortgage,Debt Consolidation,46518.84,16.8,17.0,0.0,13452.0,44396.0,0.0,0.0
Fully Paid,386210.0,Short Term,712.0,1334218.0,< 1 year,Home Mortgage,Debt Consolidation,12007.81,15.4,6.0,0.0,32110.0,85866.0,0.0,0.0
Charged Off,218020.0,Short Term,739.0,2579573.0,10+ years,Rent,Debt Consolidation,22571.24,17.4,19.0,0.0,133760.0,2181410.0,0.0,0.0
Fully Paid,147950.0,Short Term,724.0,561640.0,< 1 year,Home Mortgage,Buy House,4628.78,13.8,19.0,0.0,64049.0,192148.0,0.0,0.0
Fully Paid,545996.0,Short Term,716.0,1180147.0,10+ years,Home Mortgage,Business Loan,18656.29,19.0,7.0,0.0,539885.0,777524.0,0.0,0.0
Fully Paid,99999999.0,Short Term,747.0,1330000.0,3 years,Home Mortgage,Debt Consolidation,10163.48,16.6,7.0,0.0,386213.0,602690.0,0.0,0.0
Fully Paid,429352.0,Short Term,745.0,1761319.0,10+ years,Rent,Debt Consolidation,21869.57,27.4,11.0,0.0,502037.0,1164944.0,0.0,0.0
Fully Paid,121396.0,Short Term,694.0,805068.0,6 years,Own Home,Debt Consolidation,11338.06,22.5,8.0,1.0,95855.0,147400.0,1.0,0.0
Fully Paid,344674.0,Short Term,719.0,1600009.0,4 years,Home Mortgage,Debt Consolidation,16933.56,21.0,10.0,0.0,312550.0,484462.0,0.0,0.0
Fully Paid,99999999.0,Short Term,713.0,3382722.0,6 years,Rent,Debt Consolidation,28020.25,16.4,11.0,1.0,107882.0,298166.0,1.0,0.0
Fully Paid,99999999.0,Short Term,684.0,1157442.0,5 years,Rent,other,8111.67,21.8,12.0,0.0,218861.0,382228.0,0.0,0.0
Fully Paid,99999999.0,Short Term,750.0,1361521.0,10+ years,Own Home,Debt Consolidation,14068.93,26.8,16.0,0.0,65455.0,1202938.0,0.0,0.0
Fully Paid,292754.0,Short Term,746.0,1123698.0,10+ years,Home Mortgage,Debt Consolidation,22473.96,23.4,10.0,0.0,490371.0,1705088.0,0.0,0.0
Fully Paid,757988.0,Short Term,693.0,2384709.0,5 years,Home Mortgage,Debt Consolidation,49880.32,26.4,10.0,0.0,1393384.0,1734810.0,0.0,0.0
Charged Off,354574.0,Short Term,7240.0,1148322.0,9 years,Home Mortgage,Home Improvements,23636.38,16.7,11.0,1.0,214225.0,325930.0,1.0,0.0
Fully Paid,131670.0,Short Term,642.0,335578.0,< 1 year,Own Home,Debt Consolidation,5285.23,6.0,10.0,0.0,114608.0,400950.0,0.0,0.0
Charged Off,329274.0,Long Term,681.0,853119.0,< 1 year,Rent,Debt Consolidation,13934.22,13.0,8.0,1.0,145578.0,377938.0,0.0,0.0
Fully Paid,519860.0,Long Term,713.0,1403055.0,8 years,Rent,Debt Consolidation,29697.95,14.1,10.0,0.0,323171.0,422356.0,0.0,0.0
Charged Off,112706.0,Short Term,739.0,700758.0,9 years,Own Home,Debt Consolidation,10686.55,13.7,9.0,0.0,294139.0,380974.0,0.0,0.0
Charged Off,430188.0,Short Term,713.0,928815.0,10+ years,Home Mortgage,Debt Consolidation,22988.1,31.2,18.0,0.0,358188.0,609026.0,0.0,0.0
Charged Off,217404.0,Short Term,687.0,563274.0,1 year,Rent,Debt Consolidation,7885.76,14.6,5.0,0.0,57494.0,82588.0,0.0,0.0
Fully Paid,217316.0,Long Term,719.0,1313774.0,10+ years,Home Mortgage,Debt Consolidation,14232.52,10.6,5.0,0.0,152798.0,173778.0,0.0,0.0
Fully Paid,326480.0,Short Term,700.0,883443.0,10+ years,Rent,Debt Consolidation,22012.45,10.6,9.0,1.0,222699.0,311058.0,1.0,0.0
Fully Paid,296208.0,Short Term,742.0,824638.0,5 years,Rent,Debt Consolidation,16884.35,15.8,5.0,0.0,301169.0,418660.0,0.0,0.0
Charged Off,93874.0,Long Term,7040.0,829996.0,9 years,Rent,Debt Consolidation,7006.44,19.7,9.0,0.0,170696.0,256674.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,1040193.0,6 years,Own Home,Debt Consolidation,17943.41,18.5,18.0,0.0,306793.0,566566.0,0.0,0.0
Fully Paid,99999999.0,Short Term,699.0,1307181.0,4 years,Rent,Debt Consolidation,18659.9,22.7,17.0,0.0,648869.0,1284294.0,0.0,0.0
Fully Paid,374814.0,Long Term,664.0,812630.0,10+ years,Rent,Debt Consolidation,23904.66,11.4,17.0,0.0,514197.0,787556.0,0.0,0.0
Fully Paid,99999999.0,Long Term,663.0,1970870.0,6 years,Rent,Debt Consolidation,21515.22,22.8,18.0,0.0,372932.0,532444.0,0.0,0.0
Fully Paid,482658.0,Long Term,703.0,1647946.0,3 years,Rent,Debt Consolidation,23895.16,28.5,13.0,0.0,398392.0,816464.0,0.0,0.0
Fully Paid,375936.0,Long Term,659.0,802142.0,9 years,Home Mortgage,Debt Consolidation,15040.4,13.0,11.0,0.0,215897.0,278696.0,0.0,0.0
Fully Paid,267168.0,Short Term,738.0,1231751.0,6 years,Rent,Debt Consolidation,19810.54,27.2,10.0,0.0,525977.0,835428.0,0.0,0.0
Fully Paid,99999999.0,Short Term,730.0,2170560.0,< 1 year,Rent,Debt Consolidation,9785.57,24.3,5.0,0.0,224827.0,685080.0,0.0,0.0
Fully Paid,99999999.0,Short Term,730.0,871568.0,< 1 year,Home Mortgage,Debt Consolidation,9805.14,6.0,15.0,1.0,92511.0,156860.0,0.0,1.0
Charged Off,675950.0,Long Term,6820.0,1803556.0,2 years,Home Mortgage,Debt Consolidation,50198.95,15.4,16.0,0.0,386365.0,722722.0,0.0,0.0
Fully Paid,132748.0,Short Term,721.0,1337448.0,3 years,Own Home,Debt Consolidation,17386.9,12.0,15.0,0.0,338409.0,709874.0,0.0,0.0
Fully Paid,459228.0,Short Term,750.0,1870740.0,2 years,Rent,Other,3928.63,10.5,5.0,0.0,12084.0,215270.0,0.0,0.0
Fully Paid,86240.0,Short Term,747.0,1098580.0,8 years,Home Mortgage,Home Improvements,27281.53,18.5,10.0,0.0,261440.0,470074.0,0.0,0.0
Fully Paid,65142.0,Short Term,715.0,581400.0,< 1 year,Own Home,Debt Consolidation,12693.9,16.6,14.0,0.0,104576.0,208406.0,0.0,0.0
Fully Paid,310552.0,Short Term,731.0,1583194.0,10+ years,Home Mortgage,Debt Consolidation,16623.48,13.7,22.0,0.0,467419.0,875754.0,0.0,0.0
Charged Off,334004.0,Long Term,7220.0,846108.0,10+ years,Own Home,other,2326.74,29.9,8.0,0.0,106305.0,992640.0,0.0,0.0
Charged Off,179740.0,Short Term,7350.0,873126.0,4 years,Home Mortgage,Debt Consolidation,19427.12,15.4,17.0,0.0,280136.0,561198.0,0.0,0.0
Fully Paid,99999999.0,Short Term,746.0,1299809.0,10+ years,Home Mortgage,Debt Consolidation,9889.31,16.0,7.0,0.0,128516.0,324918.0,0.0,0.0
Fully Paid,257664.0,Short Term,740.0,1112640.0,< 1 year,Home Mortgage,Debt Consolidation,10199.2,16.2,3.0,0.0,112727.0,180268.0,0.0,0.0
Fully Paid,425986.0,Long Term,694.0,1686212.0,10+ years,Home Mortgage,Debt Consolidation,10679.33,14.2,12.0,1.0,69046.0,148588.0,1.0,0.0
Fully Paid,350768.0,Short Term,737.0,1372674.0,9 years,Rent,Debt Consolidation,18645.46,18.0,10.0,0.0,526756.0,734844.0,0.0,0.0
Fully Paid,419914.0,Short Term,712.0,1400509.0,7 years,Home Mortgage,other,26843.01,24.1,9.0,0.0,90744.0,182754.0,0.0,0.0
Fully Paid,87450.0,Short Term,699.0,679763.0,6 years,Rent,Business Loan,379.62,17.0,3.0,0.0,1938.0,8778.0,0.0,0.0
Fully Paid,99999999.0,Long Term,746.0,1220066.0,5 years,Rent,Debt Consolidation,18300.8,22.8,10.0,0.0,181089.0,565180.0,0.0,0.0
Fully Paid,266090.0,Short Term,736.0,861764.0,5 years,Rent,Debt Consolidation,16445.07,10.1,15.0,0.0,240369.0,441782.0,0.0,0.0
Fully Paid,257598.0,Short Term,740.0,851219.0,2 years,Rent,Debt Consolidation,19577.98,17.1,4.0,0.0,431433.0,647086.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,1553972.0,3 years,Own Home,Debt Consolidation,3522.22,15.4,7.0,0.0,83676.0,294492.0,0.0,0.0
Fully Paid,220000.0,Short Term,735.0,1425000.0,8 years,Home Mortgage,Debt Consolidation,10402.5,11.3,13.0,0.0,165642.0,528374.0,0.0,0.0
Charged Off,65604.0,Long Term,741.0,407930.0,< 1 year,Own Home,Take a Trip,7516.21,18.2,7.0,0.0,133323.0,306284.0,0.0,0.0
Fully Paid,144320.0,Short Term,711.0,1246495.0,7 years,Home Mortgage,Debt Consolidation,2648.79,17.7,3.0,1.0,60097.0,115390.0,1.0,0.0
Fully Paid,477752.0,Short Term,739.0,2813235.0,10+ years,Rent,Debt Consolidation,21544.67,19.4,11.0,0.0,312645.0,708422.0,0.0,0.0
Charged Off,180246.0,Short Term,661.0,747916.0,9 years,Home Mortgage,Debt Consolidation,12278.37,17.2,15.0,0.0,85766.0,248886.0,0.0,0.0
Fully Paid,224554.0,Short Term,718.0,925053.0,5 years,Rent,Debt Consolidation,19117.99,15.2,8.0,0.0,498712.0,601546.0,0.0,0.0
Fully Paid,99999999.0,Short Term,725.0,1646654.0,3 years,Rent,Debt Consolidation,33756.35,8.0,15.0,0.0,469338.0,1127456.0,0.0,0.0
Fully Paid,421212.0,Short Term,726.0,1033904.0,2 years,Rent,Debt Consolidation,22573.52,10.2,11.0,0.0,250344.0,518540.0,0.0,0.0
Fully Paid,528748.0,Short Term,732.0,2207078.0,10+ years,Home Mortgage,Debt Consolidation,34393.8,15.6,15.0,0.0,843467.0,1590622.0,0.0,0.0
Charged Off,469810.0,Long Term,722.0,1255881.0,8 years,Rent,Debt Consolidation,19675.26,18.1,17.0,0.0,340442.0,868274.0,0.0,0.0
Fully Paid,782628.0,Short Term,690.0,2317392.0,10+ years,Rent,Buy House,39588.78,26.0,13.0,0.0,843980.0,1986248.0,0.0,0.0
Charged Off,505516.0,Long Term,6930.0,1535200.0,2 years,Home Mortgage,Debt Consolidation,41066.6,13.5,12.0,0.0,546801.0,810678.0,0.0,0.0
Fully Paid,537988.0,Long Term,739.0,1043898.0,3 years,Home Mortgage,Debt Consolidation,16702.33,17.9,17.0,0.0,627589.0,2558710.0,0.0,0.0
Fully Paid,300036.0,Short Term,736.0,2799346.0,10+ years,Home Mortgage,Debt Consolidation,27293.69,11.1,8.0,1.0,171228.0,251922.0,1.0,0.0
Fully Paid,365464.0,Short Term,745.0,1671012.0,3 years,Home Mortgage,Debt Consolidation,24786.64,17.5,7.0,0.0,116299.0,307450.0,0.0,0.0
Fully Paid,171006.0,Short Term,746.0,1748988.0,< 1 year,Rent,Debt Consolidation,7112.46,18.9,11.0,0.0,153444.0,660484.0,0.0,0.0
Fully Paid,181742.0,Short Term,663.0,2242380.0,4 years,Rent,Other,26161.1,15.0,23.0,0.0,782800.0,1697388.0,0.0,0.0
Fully Paid,298716.0,Short Term,741.0,1503736.0,5 years,Home Mortgage,Debt Consolidation,25939.37,17.6,10.0,0.0,519327.0,971454.0,0.0,0.0
Fully Paid,214962.0,Long Term,701.0,1076768.0,8 years,Home Mortgage,other,17407.8,12.2,6.0,1.0,108053.0,187022.0,1.0,0.0
Fully Paid,495528.0,Long Term,682.0,930335.0,10+ years,Home Mortgage,Debt Consolidation,21785.21,12.5,20.0,0.0,234270.0,858440.0,0.0,0.0
Fully Paid,99999999.0,Short Term,732.0,963490.0,10+ years,Home Mortgage,Debt Consolidation,14532.72,13.0,10.0,0.0,131290.0,212014.0,0.0,0.0
Fully Paid,99999999.0,Long Term,745.0,3040912.0,7 years,Home Mortgage,Debt Consolidation,30916.04,26.0,16.0,0.0,2023386.0,2976974.0,0.0,0.0
Fully Paid,208208.0,Long Term,709.0,636576.0,< 1 year,Rent,Other,2424.21,16.4,12.0,1.0,76304.0,394460.0,0.0,0.0
Fully Paid,158950.0,Short Term,675.0,744496.0,7 years,Own Home,Home Improvements,14889.92,18.5,14.0,0.0,181165.0,474628.0,0.0,0.0
Fully Paid,327536.0,Short Term,731.0,1602897.0,10+ years,Rent,Debt Consolidation,14292.56,27.4,13.0,0.0,275785.0,432124.0,0.0,0.0
Fully Paid,326458.0,Short Term,689.0,786828.0,6 years,Home Mortgage,Debt Consolidation,15605.46,21.2,11.0,0.0,249071.0,433664.0,0.0,0.0
Fully Paid,99999999.0,Short Term,740.0,961400.0,10+ years,Rent,Debt Consolidation,10254.87,16.3,6.0,0.0,154945.0,255926.0,0.0,0.0
Fully Paid,121858.0,Short Term,662.0,366130.0,4 years,Rent,other,5461.55,9.5,2.0,0.0,0.0,0.0,0.0,0.0
Fully Paid,323268.0,Long Term,699.0,912000.0,5 years,Rent,Debt Consolidation,21280.19,9.8,11.0,0.0,231363.0,847792.0,0.0,0.0
Fully Paid,281490.0,Short Term,746.0,1944840.0,10+ years,Home Mortgage,Debt Consolidation,17989.77,17.5,9.0,0.0,468920.0,686422.0,0.0,0.0
Fully Paid,133562.0,Short Term,747.0,1345827.0,4 years,Rent,Other,0.0,11.4,5.0,0.0,0.0,0.0,0.0,0.0
Fully Paid,99999999.0,Short Term,748.0,1937620.0,10+ years,Home Mortgage,Debt Consolidation,18245.89,28.6,6.0,0.0,26828.0,66638.0,0.0,0.0
Fully Paid,337326.0,Short Term,698.0,1359526.0,10+ years,Home Mortgage,Debt Consolidation,14728.04,19.7,6.0,0.0,105393.0,114708.0,0.0,0.0
Charged Off,473704.0,Long Term,7120.0,922716.0,4 years,Home Mortgage,Debt Consolidation,19915.23,16.8,19.0,0.0,287014.0,719334.0,0.0,0.0
Fully Paid,99999999.0,Long Term,644.0,1399046.0,1 year,Home Mortgage,Debt Consolidation,25217.94,28.2,19.0,0.0,415853.0,730664.0,0.0,0.0
Fully Paid,631884.0,Short Term,709.0,1218945.0,10+ years,Own Home,Debt Consolidation,22652.18,22.0,23.0,0.0,705831.0,1305546.0,0.0,0.0
Fully Paid,358468.0,Long Term,708.0,1143078.0,10+ years,Home Mortgage,Debt Consolidation,22575.8,17.5,14.0,1.0,112328.0,420926.0,1.0,0.0
Fully Paid,385242.0,Short Term,751.0,1281151.0,10+ years,Home Mortgage,Debt Consolidation,12811.51,17.0,13.0,0.0,545452.0,1730322.0,0.0,0.0
Fully Paid,99999999.0,Long Term,738.0,1205626.0,10+ years,Home Mortgage,Debt Consolidation,8027.5,19.6,10.0,0.0,186447.0,1741058.0,0.0,0.0
Fully Paid,318582.0,Short Term,717.0,1499936.0,3 years,Rent,Debt Consolidation,41748.32,13.3,11.0,0.0,143241.0,323312.0,0.0,0.0
Fully Paid,133804.0,Short Term,747.0,674044.0,10+ years,Home Mortgage,Debt Consolidation,5852.95,16.9,13.0,0.0,252149.0,1122946.0,0.0,0.0
Charged Off,301884.0,Long Term,728.0,967385.0,< 1 year,Rent,Debt Consolidation,19266.95,26.5,14.0,0.0,256823.0,1357862.0,0.0,0.0
Charged Off,140382.0,Short Term,666.0,708795.0,8 years,Rent,Debt Consolidation,13644.09,9.5,13.0,0.0,279471.0,445104.0,0.0,0.0
Fully Paid,437316.0,Short Term,747.0,4437773.0,10+ years,Home Mortgage,Debt Consolidation,55472.02,35.1,19.0,0.0,660250.0,1599356.0,0.0,0.0
Fully Paid,463474.0,Short Term,746.0,894748.0,10+ years,Home Mortgage,Debt Consolidation,13122.92,22.1,10.0,0.0,181526.0,631202.0,0.0,0.0
Fully Paid,328944.0,Short Term,738.0,814378.0,1 year,Home Mortgage,Debt Consolidation,17712.94,28.4,10.0,1.0,176244.0,287430.0,1.0,0.0
Charged Off,195404.0,Short Term,6260.0,378176.0,< 1 year,Rent,Medical Bills,472.72,11.0,4.0,0.0,2812.0,271854.0,0.0,0.0
Fully Paid,217580.0,Short Term,722.0,2067010.0,10+ years,Home Mortgage,Debt Consolidation,29282.61,13.8,8.0,0.0,11970.0,147444.0,0.0,0.0
Fully Paid,264550.0,Short Term,739.0,1332793.0,10+ years,Home Mortgage,Debt Consolidation,14438.48,28.0,7.0,0.0,309852.0,473946.0,0.0,0.0
Fully Paid,212608.0,Short Term,728.0,497306.0,4 years,Rent,Debt Consolidation,3560.03,5.6,7.0,0.0,118237.0,334752.0,0.0,0.0
Charged Off,429880.0,Long Term,686.0,840940.0,10+ years,Home Mortgage,Home Improvements,5234.88,22.0,4.0,0.0,196650.0,245608.0,0.0,0.0
Fully Paid,393030.0,Short Term,714.0,754300.0,1 year,Rent,Debt Consolidation,17097.53,11.3,15.0,0.0,281827.0,746746.0,0.0,0.0
Fully Paid,424644.0,Short Term,715.0,1653437.0,1 year,Rent,other,22321.58,6.3,15.0,0.0,323684.0,607464.0,0.0,0.0
Charged Off,243452.0,Long Term,7300.0,631199.0,10+ years,Own Home,other,5680.81,31.0,11.0,0.0,690099.0,2681382.0,0.0,0.0
Fully Paid,326018.0,Short Term,726.0,1032365.0,10+ years,Home Mortgage,Debt Consolidation,25120.66,14.6,10.0,0.0,303525.0,464882.0,0.0,0.0
Fully Paid,481338.0,Long Term,671.0,1511640.0,10+ years,Home Mortgage,Other,6966.16,21.6,9.0,0.0,241851.0,665148.0,0.0,0.0
Charged Off,224180.0,Short Term,7260.0,968050.0,5 years,Rent,Debt Consolidation,18070.14,8.0,8.0,0.0,200887.0,396924.0,0.0,0.0
Fully Paid,221738.0,Short Term,750.0,1436267.0,10+ years,Home Mortgage,Home Improvements,24775.43,24.0,8.0,0.0,351120.0,554664.0,0.0,0.0
Charged Off,315700.0,Long Term,735.0,658882.0,6 years,Rent,Debt Consolidation,13122.73,37.9,6.0,0.0,436962.0,758560.0,0.0,0.0
Fully Paid,270116.0,Short Term,729.0,1119708.0,5 years,Home Mortgage,Debt Consolidation,17000.82,22.6,7.0,0.0,399247.0,663256.0,0.0,0.0
Fully Paid,99999999.0,Short Term,742.0,991952.0,9 years,Home Mortgage,Debt Consolidation,12647.35,34.5,12.0,0.0,591242.0,1190618.0,0.0,0.0
Charged Off,210408.0,Short Term,710.0,567891.0,2 years,Rent,Debt Consolidation,12966.93,12.8,12.0,0.0,246107.0,530640.0,0.0,0.0
Charged Off,321266.0,Short Term,7510.0,542735.0,10+ years,Own Home,Other,7824.39,16.0,9.0,0.0,101384.0,357874.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,1163028.0,2 years,Home Mortgage,Debt Consolidation,21806.87,21.0,9.0,0.0,487597.0,718300.0,0.0,0.0
Fully Paid,776468.0,Long Term,684.0,2548223.0,10+ years,Home Mortgage,Debt Consolidation,40983.95,14.2,16.0,0.0,576821.0,969364.0,0.0,0.0
Fully Paid,306856.0,Short Term,740.0,4164534.0,< 1 year,Rent,Debt Consolidation,28422.86,12.9,10.0,0.0,923875.0,1210132.0,0.0,0.0
