RespNr,Location,OAA_ObjCourse,OAA_ObjClass,OAA_CourseExec,OAA_RelActObj,OAA_RelActExa,OAA_RelObjExa,OAA_LearProcAct,OAA_LearProcPrep,OAA_LearProcDisc,OAA_LearProcLect,OAA_LearProcExe,OAA_SetupMotiv,OAA_UsefulnessStat,Mat_Burns,Mat_Baarda,Mat_Laerd,Mat_PowerPoint,Mat_AddMaterial,Mat_Excel,Mat_Announcements,BB_Own,BB_Motivating,BB_UserFr,BB_SuffICT,Teach_Motivate,Teach_LinkTheory,Teach_StimAsk,Teach_Avail,Teach_StimDisc,Teach_Partic,Teach_Comp,Mix_Adeq1,Mix_Adeq1_Open,Mix_NrClass,Mix_NrAct,Mix_Adeq2,Mix_Adeq2_Open,Mix_IntClass,Mix_IntDiscus,Mix_IntPrep,Mix_IntExcel,Over_Grade,Gen_Gender,Gen_Age,Gen_SecSchool,Gen_Classes,Gen_NumberSubj,Gen_Time
46.0,Rotterdam,Neither disagree nor agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,,,Very much,neutral,,,somewhat,Fully agree,Agree,Fully agree,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,,Enough,Enough,Neither disagree nor agree,,neutral,neutral,neutral,neutral,75.0,Male,20.0,The Netherlands,5.0,Fully agree,20 < 30
47.0,Haarlem,Agree,Agree,Neither disagree nor agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Agree,Agree,Fully agree,Neither disagree nor agree,Fully agree,neutral,neutral,Not at all,Very much,Not at all,somewhat,somewhat,Fully agree,Fully agree,Fully agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Fully agree,Agree,,Enough,too little,Agree,,neutral,neutral,not so much,neutral,80.0,Male,30.0,Asia,1.0,Neither disagree nor agree,20 < 30
48.0,Diemen,Fully Disagree,Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Not at all,,not so much,,neutral,neutral,neutral,Fully agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Fully Disagree,Disagree,Neither disagree nor agree,Fully agree,Fully agree,Fully Disagree,Fully agree,Fully Disagree,,Far too little,Far too little,Neither disagree nor agree,,neutral,neutral,neutral,neutral,40.0,Male,20.0,The Netherlands,3.0,Agree,10 < 20
49.0,Haarlem,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Agree,Fully agree,Agree,Agree,Very much,neutral,neutral,somewhat,neutral,Very much,somewhat,Fully agree,Fully agree,Fully agree,Fully agree,Agree,Agree,Agree,Agree,Fully Disagree,Neither disagree nor agree,Fully agree,Agree,,Too much,,Fully agree,,somewhat,somewhat,Not at all,Very much,90.0,,,,,,
50.0,Diemen,Fully agree,Fully agree,Fully agree,Fully agree,Agree,Agree,Fully agree,Fully agree,Agree,Agree,Fully agree,Agree,Fully agree,,,Very much,Very much,Very much,Very much,Very much,Fully agree,Fully agree,Fully agree,Fully agree,Neither disagree nor agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,The amount of hours spent in class and on the course on Blackboard were really helpful,Enough,Enough,Fully agree,Mister Stikker is one of the few teachers who actually cares about what his students understand and actually learn something in class,Very much,Very much,Very much,Very much,100.0,,,,,,
51.0,Haarlem,Fully Disagree,Disagree,Fully Disagree,Neither disagree nor agree,Fully Disagree,Fully Disagree,Disagree,Agree,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,somewhat,,,neutral,,neutral,Not at all,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Fully agree,Fully Disagree,Fully Disagree,Fully Disagree,Neither disagree nor agree,Fully Disagree,Fully Disagree,Disagree,Neither disagree nor agree,,too little,Enough,Fully Disagree,The teacher was not able in my eyes to bring the knowledge he has on the students. We didn't had any discussion. There were options for self study,Not at all,not so much,not so much,somewhat,33.0,Male,21.0,The Netherlands,6.0,Agree,20 < 30
52.0,Haarlem,Agree,Agree,Fully Disagree,Agree,Agree,Agree,Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Agree,Disagree,Neither disagree nor agree,somewhat,,,Very much,,somewhat,,Agree,Disagree,Agree,Fully agree,Fully Disagree,Fully Disagree,Fully Disagree,Agree,Neither disagree nor agree,Fully Disagree,Fully Disagree,Neither disagree nor agree,The Blackboard course was good and was explaining the material in a good way. But the teacher was very demotivating,Enough,Too much,Neither disagree nor agree,,Not at all,Not at all,somewhat,somewhat,36.0,Male,20.0,The Netherlands,2.0,Agree,Less than 10 hours
53.0,Haarlem,Agree,Disagree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Neither disagree nor agree,Disagree,Disagree,Disagree,Disagree,Neither disagree nor agree,Disagree,,,,somewhat,,neutral,not so much,Agree,Neither disagree nor agree,Agree,Agree,Disagree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Disagree,Agree,Agree,Various instruments to work on statistics,too little,Enough,Disagree,Did not discuss homework so you could not see if your self-study had been okay,neutral,not so much,not so much,somewhat,65.0,Female,20.0,The Netherlands,5.0,Agree,20 < 30
54.0,Haarlem,Fully agree,Neither disagree nor agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither disagree nor agree,Neither disagree nor agree,Agree,Agree,Neither disagree nor agree,somewhat,,,Very much,neutral,Very much,Very much,Fully agree,Neither disagree nor agree,Agree,Fully agree,Neither disagree nor agree,Agree,Agree,Agree,Disagree,Neither disagree nor agree,Agree,Neither disagree nor agree,It was nice to have 45 min class & 45 min behind the computer,Enough,Enough,Neither disagree nor agree,He asked every beginning of the lesson. He explained very well,somewhat,neutral,somewhat,Very much,78.0,Female,22.0,The Netherlands,7.0,Agree,10 < 20
55.0,Haarlem,Disagree,Fully Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Neither disagree nor agree,Fully Disagree,Disagree,somewhat,Not at all,neutral,not so much,neutral,not so much,Not at all,Fully agree,Disagree,Fully Disagree,Fully agree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,Fully Disagree,I studied myself since while the teacher has knowledge he can't teach. So no ???? to pass,Enough,Enough,Neither disagree nor agree,,Not at all,Not at all,Very much,Very much,50.0,,,,,,
